|land|port|location|city|region|runway|approach|usage|opstatus|coordinates|
|AE|DBP|Dibba|Dibba|SH|1-3-----|RL|0401||2537N 05616E|
|AE|FMZ|Musafa|Musafa||0-------|RQ|9307|||
|AF|CSO|Camp Salerno|Camp Salerno|KHO|--3-----|RL|0901||3324N 07004E|
|AF|MEY|Meydan|Meydan|BAL|--3-----|RL|1307||3654N 06655E|
|AI|CRH|Crocus Hill|Crocus Hill||--3-----|RL|0607||1813N 06304W|
|AL|VOR|Vore|Vore|TR|--3-----|RL|1501||4123N 01939E|
|AO|BEL|Belas|Belas|LUA|--3-----|RL|1707||0855S 01310E|
|AO|LAD|Luanda|Luanda||1--45---|AI|9601|||
|AO|RSN|River Sao Nicolau|River Sao Nicolau||1-------|RQ|0901||1415S 01220E|
|AQ|GWL|Great Wall|Great Wall||1-------|RL|0507||6213S 05858W|
|AQ|ZGN|Zhongshan|Zhongshan||1-------|RL|0507||6922S 07623E|
|AR|AVO|Arist�bulo del Valle|Aristobulo del Valle|N|--3-----|RL|1201||2707S 05455W|
|AR|BJR|Benito Juarez|Benito Juarez|B|--3-----|RQ|1101||3740S 05948W|
|AR|CBZ|Capitan Bermudez|Capitan Bermudez||-2------|RQ|1001||3249S 06043W|
|AR|HOS|Chos Malal|Chos Malal|Q|---4----|AI|9912|||
|AR|CUA|Cuatreros/Bahia Blanca|Cuatreros/Bahia Blanca|B|1-------|AI|9401|||
|AR|FEN|Federaci�n|Federacion|E|--3-----|RL|1201||3100S 05754W|
|AR|VGS|General Villegas|General Villegas|B|---4----|AI|9912|||
|AR|IMZ|Ingeniero Maschwitz|Ingeniero Maschwitz|B|--3-----|RL|1501||3422S 05844W|
|AR|LNS|Lan�s|Lanus|B|-23-----|RQ|0901||3442S 05824W|
|AR|VLU|Luque|Luque|X|--3-----|RL|1501||3139S 06322W|
|AR|MML|Monte Ma�z|Monte Maiz|X|-23-----|RL|1307||3312S 06236W|
|AR|PML|P�rez Mill�n|Perez Millan|B|--3-----|RQ|1101||3346S 06006W|
|AR|PTC|Puerto Tirol|Puerto Tirol|H|--3-----|RL|1401||2723S 05905W|
|AR|RIV|Rivadavia|Rivadavia|M|1----6--|RL|0901||3311S 06828W|
|AR|SJV|San Javier|San Javier|N|--3-----|RQ|1301||2753S 05508W|
|AR|RSA|Santa Rosa|Santa Rosa|L|---4----|AI|9601|||
|AR|TUN|Tunuyan|Tunuyan|M|1----6--|RL|0901||3334S 06901W|
|AR|VHE|Villa Hernandarias|Villa Hernandarias|E|1-------|RQ|0901||3114S 05959W|
|AT|ABC|Abfaltersbach|Abfaltersbach|7|--3-----|RL|1707||4645N 01232E|
|AT|ALT|Althofen|Althofen||--3-----|RL|0201||4709N 01414E|
|AT|ARN|Auern|Auern|4|--3-----|RQ|1101||4759N 01407E|
|AT|BMB|Behamberg|Behamberg|9|--3-----|RL|0701||4802N 01430E|
|AT|6TA|Bruckbach|Bruckbach|3|--3-----|RL|1601||4800N 01444E|
|AT|EBB|Ebbs|Ebbs|7|--3-----|RL|1307||4738N 01213E|
|AT|EMM|Emmersdorf an der Donau|Emmersdorf an der Donau|3|-23-----|RL|1001||4814N 01520E|
|AT|FWG|Fels am Wagram|Fels am Wagram|3|--3-----|RL|0701||4827N 01549E|
|AT|FUR|F�rnitz|Furnitz|2|--3-----|RL|0212||4633N 01349E|
|AT|GST|Gleinst�tten|Gleinstatten|6|-----6--|RL|0901||4645N 01522E|
|AT|GRZ|Graz|Graz|6|-2345---|AI|1307||4704N 01527E|
|AT|GUT|Gurten|Gurten|4|--3-----|RL|1201||4815N 01320E|
|AT|HAC|Haugschlag|Haugschlag|3|--3-----|RL|1301||4859N 01503E|
|AT|HOC|Hochfilzen|Hochfilzen|7|-----6--|RL|0901||4728N 01237E|
|AT|ILZ|Ilz|Ilz|6|--3-----|RL|0507||4705N 01555E|
|AT|KAP|Kaprun|Kaprun|5|-----6--|RL|1201||4716N 01246E|
|AT|KSP|Klein Sankt Paul|Klein Sankt Paul|2|--3-----|RL|1107||4650N 01432E|
|AT|KRS|Kramsach|Kramsach|7|--3-----|RL|0401||4727N 01152E|
|AT|LGR|Langenrohr|Langenrohr|3|-23-----|RL|1001||4818N 01600E|
|AT|LTS|Leutschach|Leutschach|6|1----6--|RL|1201||4640N 01528E|
|AT|MLB|Mailberg|Mailberg|3|--3-----|RL|1207||4840N 01611E|
|AT|MBH|Mauerbach|Mauerbach|3|--3-----|RL|0701||4815N 01610E|
|AT|MML|Mitterdorf im Murztal|Mitterdorf im Murztal|6|--3-----|RL|1501||4732N 01531E|
|AT|NEC|Neckenmarkt|Neckenmarkt||--3-----|RL|0607||4736N 01633E|
|AT|NTA|Neutal|Neutal||--3-----|RL|0106||4732N 01626E|
|AT|OBE|Oberpullendorf|Oberpullendorf||--3-----|RL|0201||4729N 01630E|
|AT|PAM|Pamhagen|Pamhagen|1|-23-----|RL|0501||4742N 01655E|
|AT|POF|Pinsdorf|Pinsdorf|4|--3-----|RL|0307||4755N 01346E|
|AT|PRL|Proleb|Proleb|6|--3-----|RL|1801||4724N 01508E|
|AT|RAU|Rauris|Rauris|5|--3-----|RQ|1101||4713N 01300E|
|AT|ROI|Roitham|Roitham||--3-----|RL|0201||4801N 01349E|
|AT|SFI|Sankt Florian am Inn|Sankt Florian am Inn|4|--3--6--|RL|1001||4826N 01336E|
